販売個数, 引き出し金額, 販売者の残高の変動量, 取引手数料
5, 2.4999999999997464, -22.245776972000254, 24.745776972
10, 2.4999999999997464, -17.501176220000254, 20.001176219999998
15, 2.4999999999997464, -17.501176220000254, 20.001176219999998
20, 2.4999999999997464, -17.501176220000254, 20.001176219999998
25, 2.4999999999997464, -17.501176220000254, 20.001176219999998
30, 2.4999999999997464, -17.497841996000254, 19.997841996
35, 2.4999999999997464, -17.497841996000254, 19.997841996
40, 2.4999999999997464, -17.501176220000254, 20.001176219999998
45, 2.4999999999997464, -17.501176220000254, 20.001176219999998
50, 2.4999999999997464, -17.501176220000254, 20.001176219999998
55, 2.4999999999997464, -17.497841996000254, 19.997841996
60, 2.4999999999997464, -17.501176220000254, 20.001176219999998
65, 2.4999999999997464, -17.501176220000254, 20.001176219999998
70, 2.4999999999997464, -17.501176220000254, 20.001176219999998
75, 2.4999999999997464, -17.497841996000254, 19.997841996
80, 2.4999999999997464, -17.501176220000254, 20.001176219999998
85, 2.4999999999997464, -17.501176220000254, 20.001176219999998
90, 2.4999999999997464, -17.501176220000254, 20.001176219999998
95, 2.4999999999997464, -17.501176220000254, 20.001176219999998
100, 2.4999999999997464, -17.501176220000254, 20.001176219999998
