îÃîÑå¬êî,à¯Ç´èoÇµã‡äz,îÃîÑé“ÇÃécçÇÇÃïœìÆó ,éÊà¯éËêîóø
200,0.9999999999999943,-2948.2564758400013,2949.256475840001
400,0.9999999999999943,-2345.053631680001,2346.053631680001
600,0.9999999999999943,-2345.053631680001,2346.053631680001
800,0.9999999999999943,-2345.053631680001,2346.053631680001
1000,0.9999999999999943,-2345.053631680001,2346.053631680001
1200,0.9999999999999943,-2345.053631680001,2346.053631680001
1400,0.9999999999999943,-2345.053631680001,2346.053631680001
1600,0.9999999999999943,-2345.053631680001,2346.053631680001
1800,0.9999999999999943,-2345.053631680001,2346.053631680001
2000,0.9999999999999943,-2344.629438400001,2345.629438400001
2200,0.9999999999999943,-2344.629438400001,2345.629438400001
2400,0.9999999999999943,-2345.053631680001,2346.053631680001
2600,0.9999999999999943,-2343.781051840001,2344.781051840001
2800,0.9999999999999943,-2344.205245120001,2345.205245120001
3000,0.9999999999999943,-2345.053631680001,2346.053631680001
3200,0.9999999999999943,-2345.053631680001,2346.053631680001
3400,0.9999999999999943,-2344.629438400001,2345.629438400001
3600,0.9999999999999943,-2344.629438400001,2345.629438400001
3800,0.9999999999999943,-2345.053631680001,2346.053631680001
4000,0.9999999999999943,-2345.053631680001,2346.053631680001
4200,0.9999999999999943,-2345.053631680001,2346.053631680001
4400,0.9999999999999943,-2345.053631680001,2346.053631680001
4600,0.9999999999999943,-2344.629438400001,2345.629438400001
4800,0.9999999999999943,-2344.629438400001,2345.629438400001
5000,0.9999999999999943,-2345.053631680001,2346.053631680001
5200,0.9999999999999943,-2345.053631680001,2346.053631680001
5400,0.9999999999999943,-2344.629438400001,2345.629438400001
5600,0.9999999999999943,-2345.053631680001,2346.053631680001
5800,0.9999999999999943,-2345.053631680001,2346.053631680001
6000,0.9999999999999943,-2345.053631680001,2346.053631680001
6200,0.9999999999999943,-2345.053631680001,2346.053631680001
6400,0.9999999999999943,-2344.205245120001,2345.205245120001
6600,0.9999999999999943,-2344.629438400001,2345.629438400001
6800,0.9999999999999943,-2345.053631680001,2346.053631680001
7000,0.9999999999999943,-2344.629438400001,2345.629438400001
7200,0.9999999999999943,-2345.053631680001,2346.053631680001
7400,0.9999999999999943,-2345.053631680001,2346.053631680001
7600,0.9999999999999943,-2345.053631680001,2346.053631680001
7800,0.9999999999999943,-2345.053631680001,2346.053631680001
8000,0.9999999999999943,-2345.053631680001,2346.053631680001
8200,0.9999999999999943,-2345.053631680001,2346.053631680001
8400,0.9999999999999943,-2345.053631680001,2346.053631680001
8600,0.9999999999999943,-2345.053631680001,2346.053631680001
8800,0.9999999999999943,-2344.629438400001,2345.629438400001
9000,0.9999999999999943,-2344.629438400001,2345.629438400001
9200,0.9999999999999943,-2344.629438400001,2345.629438400001
9400,0.9999999999999943,-2345.053631680001,2346.053631680001
9600,0.9999999999999943,-2345.053631680001,2346.053631680001
9800,0.9999999999999943,-2345.053631680001,2346.053631680001
10000,0.9999999999999943,-2345.053631680001,2346.053631680001
