販売個数, 引き出し金額, 販売者の残高の変動量, 取引手数料
10, 4.999999999999493, -19.749111196000506, 24.749111196
20, 4.999999999999493, -14.997841996000508, 19.997841996
30, 4.999999999999493, -15.001176220000508, 20.001176219999998
40, 4.999999999999493, -14.997841996000508, 19.997841996
50, 4.999999999999493, -15.001176220000508, 20.001176219999998
60, 4.999999999999493, -15.001176220000508, 20.001176219999998
70, 4.999999999999493, -15.001176220000508, 20.001176219999998
80, 4.999999999999493, -15.001176220000508, 20.001176219999998
90, 4.999999999999493, -15.001176220000508, 20.001176219999998
100, 4.999999999999493, -15.001176220000508, 20.001176219999998
